"tipologia(verdura,frutta,pesce,carne,casa,elettronica)","stagione","zona supermercato(periferia,residenziale)","festività(Feriale,Lavorativo)","scadenza(breve,media,lunga)","dimensione confezione(piccola,media,grande)","costo(prezzo)","spedizione(prezzo)","fornitura(20-50-100-150-200-300-500)"
"Elettronica","Autunno","Periferia","Feriale","Media","Piccola",200.00,10,100
"Elettronica","Autunno","Periferia","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Autunno","Residenziale","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Autunno","Residenziale","Lavorativo","Media","Media",100.00,10,150
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Autunno","Residenziale","Lavorativo","Media","Piccola",200.00,10,100
"Elettronica","Autunno","Residenziale","Lavorativo","Media","Piccola",10.00,10,150
"Elettronica","Autunno","Residenziale","Feriale","Media","Media",200.00,10,100
"Elettronica","Autunno","Residenziale","Feriale","Media","Piccola",200.00,10,150
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",500.00,10,100
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",100.00,10,150
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",1000.00,20,50
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",10.00,10,500
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Piccola",500.00,10,150
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Grande",100.00,10,100
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Piccola",1000.00,20,100
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Grande",10.00,10,200
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Autunno","Periferia","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Autunno","Periferia","Feriale","Lunga","Grande",100.00,10,150
"Elettronica","Autunno","Periferia","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Autunno","Periferia","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Autunno","Periferia","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Autunno","Periferia","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Media",500.00,10,200
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Piccola",100.00,10,150
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,100
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Piccola",20.00,5,300
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Piccola",10.00,10,500
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Piccola",10.00,5,500
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Piccola",500.00,7,200
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Grande",100.00,10,150
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,150
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Grande",10.00,10,300
"Elettronica","Autunno","Residenziale","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Grande",100.00,10,200
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Grande",10.00,7,300
"Elettronica","Autunno","Residenziale","Feriale","Lunga","Media",10.00,20,300




